Int1	Int2	Correlation	Sign	Edge_Width(abs(correlation)*10)	Pvalue
Salmonella enterica subsp. arizonae serovar 62:z4,z23:- str. RSK2980	Candidatus Moranella endobia PCIT	0.880911726628	+	8.80911726628	1.26838750706e-255
Salmonella enterica subsp. arizonae serovar 62:z4,z23:- str. RSK2980	Lactobacillus vaginalis ATCC 49540	0.861219209321	+	8.61219209321	1.77799804926e-231
Salmonella enterica subsp. arizonae serovar 62:z4,z23:- str. RSK2980	Citrobacter koseri ATCC BAA-895	0.953085774387	+	9.53085774387	0.0
Salmonella enterica subsp. arizonae serovar 62:z4,z23:- str. RSK2980	Pantoea vagans C9-1	0.895895881856	+	8.95895881856	4.60779110245e-277
Salmonella enterica subsp. arizonae serovar 62:z4,z23:- str. RSK2980	Providencia stuartii ATCC 25827	0.905934395865	+	9.05934395865	2.39147769859e-293
Salmonella enterica subsp. arizonae serovar 62:z4,z23:- str. RSK2980	Enterobacter lignolyticus SCF1	0.969578445488	+	9.69578445488	0.0
Salmonella enterica subsp. arizonae serovar 62:z4,z23:- str. RSK2980	Salmonella bongori NCTC 12419	0.984137405602	+	9.84137405602	0.0
Salmonella enterica subsp. arizonae serovar 62:z4,z23:- str. RSK2980	Enterobacter cloacae subsp. cloacae ATCC 13047	0.910899828697	+	9.10899828697	4.28142807534e-302
Salmonella enterica subsp. arizonae serovar 62:z4,z23:- str. RSK2980	Corynebacterium striatum ATCC 6940	0.87417913153	+	8.7417913153	6.51410429941e-247
Salmonella enterica subsp. arizonae serovar 62:z4,z23:- str. RSK2980	Bacillus cereus SJ1	0.927238931517	+	9.27238931517	0.0
Salmonella enterica subsp. arizonae serovar 62:z4,z23:- str. RSK2980	Serratia sp. AS12	0.80914644466	+	8.0914644466	2.72449080509e-182
Salmonella enterica subsp. arizonae serovar 62:z4,z23:- str. RSK2980	Serratia odorifera DSM 4582	0.916235202838	+	9.16235202838	4.39216944627e-312
Salmonella enterica subsp. arizonae serovar 62:z4,z23:- str. RSK2980	Legionella pneumophila str. Paris	0.804519652977	+	8.04519652977	1.15121022905e-178
Salmonella enterica subsp. arizonae serovar 62:z4,z23:- str. RSK2980	Klebsiella pneumoniae 342	0.80381226674	+	8.0381226674	4.04517755947e-178
Salmonella enterica subsp. arizonae serovar 62:z4,z23:- str. RSK2980	Erwinia tasmaniensis Et1/99	0.887160870259	+	8.87160870259	3.40702220852e-264
Salmonella enterica subsp. arizonae serovar 62:z4,z23:- str. RSK2980	Citrobacter rodentium ICC168	0.970501767878	+	9.70501767878	0.0
Salmonella enterica subsp. arizonae serovar 62:z4,z23:- str. RSK2980	Erwinia amylovora ATCC 49946	0.947588247738	+	9.47588247738	0.0
Salmonella enterica subsp. arizonae serovar 62:z4,z23:- str. RSK2980	Xenorhabdus nematophila ATCC 19061	0.888668258177	+	8.88668258177	2.44902599516e-266
Salmonella enterica subsp. arizonae serovar 62:z4,z23:- str. RSK2980	Dickeya dadantii 3937	0.841669296701	+	8.41669296701	6.21342964771e-211
Salmonella enterica subsp. arizonae serovar 62:z4,z23:- str. RSK2980	Rahnella sp. Y9602	0.836456990366	+	8.36456990366	6.33932974501e-206
Salmonella enterica subsp. arizonae serovar 62:z4,z23:- str. RSK2980	Salmonella enterica subsp. enterica serovar Dublin str. SD3246	0.984699488378	+	9.84699488378	0.0
Salmonella enterica subsp. arizonae serovar 62:z4,z23:- str. RSK2980	Enterobacter asburiae LF7a	0.887454764139	+	8.87454764139	1.30884436873e-264
Salmonella enterica subsp. arizonae serovar 62:z4,z23:- str. RSK2980	Proteus mirabilis HI4320	0.801777712403	+	8.01777712403	1.45993111716e-176
Salmonella enterica subsp. arizonae serovar 62:z4,z23:- str. RSK2980	Rahnella aquatilis CIP 78.65 = ATCC 33071	0.905367404789	+	9.05367404789	2.22026360602e-292
Salmonella enterica subsp. arizonae serovar 62:z4,z23:- str. RSK2980	Dickeya zeae Ech1591	0.925555544827	+	9.25555544827	0.0
Salmonella enterica subsp. arizonae serovar 62:z4,z23:- str. RSK2980	Enterobacter cloacae subsp. cloacae NCTC 9394	0.841808366609	+	8.41808366609	4.54164818434e-211
Salmonella enterica subsp. arizonae serovar 62:z4,z23:- str. RSK2980	Eubacterium rectale M104/1	-0.321643261708	-	3.21643261708	2.79849386576e-20
Salmonella enterica subsp. arizonae serovar 62:z4,z23:- str. RSK2980	Dickeya dadantii Ech703	0.891131438059	+	8.91131438059	6.59335102966e-270
Salmonella enterica subsp. arizonae serovar 62:z4,z23:- str. RSK2980	Micrococcus luteus SK58	0.833466294854	+	8.33466294854	3.95276589974e-203
Salmonella enterica subsp. arizonae serovar 62:z4,z23:- str. RSK2980	Sodalis glossinidius str. 'morsitans'	0.904329141283	+	9.04329141283	1.26695361435e-290
Salmonella enterica subsp. arizonae serovar 62:z4,z23:- str. RSK2980	Xenorhabdus bovienii SS-2004	0.915494711715	+	9.15494711715	1.1702538416e-310
Salmonella enterica subsp. arizonae serovar 62:z4,z23:- str. RSK2980	Bacillus coahuilensis m4-4	0.88931606554	+	8.8931606554	2.87303604006e-267
Salmonella enterica subsp. arizonae serovar 62:z4,z23:- str. RSK2980	Rheinheimera sp. A13L	0.917077438351	+	9.17077438351	1.01173175221e-313
Salmonella enterica subsp. arizonae serovar 62:z4,z23:- str. RSK2980	Pantoea sp. At-9b	0.945652318689	+	9.45652318689	0.0
Salmonella enterica subsp. arizonae serovar 62:z4,z23:- str. RSK2980	Proteus penneri ATCC 35198	0.863886286961	+	8.63886286961	1.60108063213e-234
Salmonella enterica subsp. arizonae serovar 62:z4,z23:- str. RSK2980	Grimontia hollisae CIP 101886	0.815231452515	+	8.15231452515	3.25546748154e-187
Salmonella enterica subsp. arizonae serovar 62:z4,z23:- str. RSK2980	Propionibacterium acnes HL099PA1	-0.326660282782	-	3.26660282782	6.67990561954e-21
Salmonella enterica subsp. arizonae serovar 62:z4,z23:- str. RSK2980	Vibrio anguillarum 775	0.805950514761	+	8.05950514761	8.91864846242e-180
Salmonella enterica subsp. arizonae serovar 62:z4,z23:- str. RSK2980	Pseudomonas syringae pv. morsprunorum str. M302280	0.892329892571	+	8.92329892571	1.12451344783e-271
Salmonella enterica subsp. arizonae serovar 62:z4,z23:- str. RSK2980	Plautia stali symbiont	0.860482471325	+	8.60482471325	1.20231005045e-230
Salmonella enterica subsp. arizonae serovar 62:z4,z23:- str. RSK2980	Dickeya dadantii Ech586	0.950475261998	+	9.50475261998	0.0
Salmonella enterica subsp. arizonae serovar 62:z4,z23:- str. RSK2980	Dermacoccus sp. Ellin185	0.915034073082	+	9.15034073082	8.88213648986e-310
Salmonella enterica subsp. arizonae serovar 62:z4,z23:- str. RSK2980	Pantoea sp. aB	0.889337714978	+	8.89337714978	2.67386163156e-267
Salmonella enterica subsp. arizonae serovar 62:z4,z23:- str. RSK2980	Photorhabdus asymbiotica	0.834911487243	+	8.34911487243	1.79201739828e-204
Salmonella enterica subsp. arizonae serovar 62:z4,z23:- str. RSK2980	Pectobacterium carotovorum subsp. carotovorum PC1	0.901987124676	+	9.01987124676	9.81296133868e-287
Salmonella enterica subsp. arizonae serovar 62:z4,z23:- str. RSK2980	Pectobacterium atrosepticum SCRI1043	0.923276866543	+	9.23276866543	0.0
Macrococcus caseolyticus JCSC5402	Pseudoflavonifractor capillosus ATCC 29799	-0.316974517491	-	3.16974517491	1.03623962598e-19
Macrococcus caseolyticus JCSC5402	Bartonella bacilliformis KC583	-0.321582998341	-	3.21582998341	2.84660198416e-20
Macrococcus caseolyticus JCSC5402	Staphylococcus pseudintermedius HKU10-03	0.905611210744	+	9.05611210744	8.53156481135e-293
Macrococcus caseolyticus JCSC5402	Dyadobacter fermentans DSM 18053	-0.389578632141	-	3.89578632141	9.59669014402e-30
Macrococcus caseolyticus JCSC5402	Propionibacterium acnes HL044PA1	-0.377092353297	-	3.77092353297	7.88573271192e-28
Macrococcus caseolyticus JCSC5402	Natranaerobius thermophilus JW/NM-WN-LF	-0.300431878098	-	3.00431878098	8.92175772504e-18
Macrococcus caseolyticus JCSC5402	Lawsonia intracellularis PHE/MN1-00	-0.410649633001	-	4.10649633001	3.6203131057e-33
Macrococcus caseolyticus JCSC5402	Clostridium leptum DSM 753	-0.355188839082	-	3.55188839082	1.14855092598e-24
Macrococcus caseolyticus JCSC5402	Gloeobacter violaceus PCC 7421	-0.315393886017	-	3.15393886017	1.60576148831e-19
Macrococcus caseolyticus JCSC5402	Lactococcus lactis subsp. cremoris SK11	-0.377434061579	-	3.77434061579	7.00711315902e-28
Macrococcus caseolyticus JCSC5402	Deinococcus radiodurans R1	-0.325569480855	-	3.25569480855	9.1418234613e-21
Macrococcus caseolyticus JCSC5402	Alistipes sp. HGB5	-0.360533571138	-	3.60533571138	2.04503857832e-25
Macrococcus caseolyticus JCSC5402	Propionibacterium acnes HL099PA1	-0.470603517157	-	4.70603517157	2.39365622481e-44
Macrococcus caseolyticus JCSC5402	Staphylococcus haemolyticus JCSC1435	0.870207203676	+	8.70207203676	5.25624711949e-242
Lactococcus lactis subsp. lactis KF147	Fusobacterium varium ATCC 27725	-0.302639133284	-	3.02639133284	5.0043188159e-18
Lactococcus lactis subsp. lactis KF147	Staphylococcus haemolyticus JCSC1435	-0.367522688674	-	3.67522688674	2.03696988686e-26
Alkaliphilus metalliredigens QYMF	Alkaliphilus oremlandii OhILAs	0.808990792426	+	8.08990792426	3.62138216212e-182
Alkaliphilus metalliredigens QYMF	Croceibacter atlanticus HTCC2559	-0.33187208204	-	3.3187208204	1.4656777461e-21
Conexibacter woesei DSM 14684	Clostridium phytofermentans ISDg	0.836781332912	+	8.36781332912	3.13000373831e-206
Clostridium sp. BNL1100	Clostridium papyrosolvens DSM 2782	0.817075029257	+	8.17075029257	9.66270685946e-189
Pseudomonas stutzeri DSM 4166	Burkholderia multivorans ATCC 17616	0.832610644386	+	8.32610644386	2.43389972091e-202
Bacteroides salanitronis DSM 18170	Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293	-0.326805775399	-	3.26805775399	6.40550786254e-21
Bacteroides salanitronis DSM 18170	Rothia dentocariosa M567	-0.300402667475	-	3.00402667475	8.98998737268e-18
Bacteroides salanitronis DSM 18170	Actinomyces sp. oral taxon 180 str. F0310	-0.410637899154	-	4.10637899154	3.63681886896e-33
Bacteroides salanitronis DSM 18170	Corynebacterium variabile DSM 44702	-0.303833462854	-	3.03833462854	3.65235448367e-18
Bacteroides salanitronis DSM 18170	Lactobacillus plantarum WCFS1	-0.309972368517	-	3.09972368517	7.0715510494e-19
Bacteroides salanitronis DSM 18170	Streptococcus mutans UA159	-0.309340214566	-	3.09340214566	8.38922805943e-19
Bacteroides salanitronis DSM 18170	Actinomyces sp. oral taxon 448 str. F0400	-0.379548436966	-	3.79548436966	3.36304784959e-28
Bacteroides salanitronis DSM 18170	Actinomyces sp. oral taxon 175 str. F0384	-0.439209971629	-	4.39209971629	3.24578977851e-38
Bacteroides salanitronis DSM 18170	Lactobacillus casei BD-II	-0.343274549255	-	3.43274549255	4.78648050062e-23
Bacteroides salanitronis DSM 18170	Actinomyces sp. oral taxon 170 str. F0386	-0.458888382748	-	4.58888382748	5.52674213448e-42
Bacteroides salanitronis DSM 18170	Actinomyces sp. oral taxon 848 str. F0332	-0.309661660409	-	3.09661660409	7.6914915898e-19
Bacteroides salanitronis DSM 18170	Actinomyces odontolyticus F0309	-0.35946594346	-	3.5946594346	2.89432996319e-25
Neisseria subflava NJ9703	Dorea longicatena DSM 13814	-0.307707776872	-	3.07707776872	1.3017274837e-18
Neisseria subflava NJ9703	Pseudoflavonifractor capillosus ATCC 29799	-0.308022082116	-	3.08022082116	1.19640241367e-18
Neisseria subflava NJ9703	[Eubacterium] cylindroides T2-87	-0.325595147291	-	3.25595147291	9.07471408091e-21
Neisseria subflava NJ9703	Clostridium leptum DSM 753	-0.323684631044	-	3.23684631044	1.56741623751e-20
Neisseria subflava NJ9703	Ruminococcus sp. SR1/5	-0.325224958685	-	3.25224958685	1.009149186e-20
Roseburia hominis A2-183	Fusobacterium ulcerans ATCC 49185	-0.331784859424	-	3.31784859424	1.503722456e-21
Cellulomonas flavigena DSM 20109	Cellulomonas fimi ATCC 484	0.806314700156	+	8.06314700156	4.63532844367e-180
Streptococcus infantis SK1076	Streptococcus sp. oral taxon 071 str. 73H25AP	0.813083524501	+	8.13083524501	1.86568433821e-185
Streptococcus infantis SK1076	Streptococcus peroris ATCC 700780	0.912659734613	+	9.12659734613	2.55681963854e-305
Streptococcus infantis SK1076	Streptococcus oralis ATCC 49296	0.831796412537	+	8.31796412537	1.3594033035e-201
Streptococcus infantis SK1076	Streptococcus australis ATCC 700641	0.825029216956	+	8.25029216956	1.55171970067e-195
Streptococcus infantis SK1076	Streptococcus infantis SK1302	0.876899348686	+	8.76899348686	2.2706882011e-250
Streptococcus infantis SK1076	Streptococcus mitis bv. 2 str. F0392	0.848982760667	+	8.48982760667	2.82358885028e-218
Streptococcus infantis SK1076	Streptococcus cristatus ATCC 51100	0.839849495846	+	8.39849495846	3.65138507825e-209
Streptococcus infantis SK1076	Streptococcus mitis bv. 2 str. SK95	0.816519554003	+	8.16519554003	2.79999250521e-188
Streptococcus infantis SK1076	Streptococcus parasanguinis ATCC 15912	0.820013521367	+	8.20013521367	3.26825067629e-191
Streptococcus infantis SK1076	Streptococcus oralis Uo5	0.84276295014	+	8.4276295014	5.23988516102e-212
Streptococcus infantis SK1076	Streptococcus sp. oral taxon 056 str. F0418	0.837731451056	+	8.37731451056	3.92472543376e-207
Streptococcus infantis SK1076	Streptococcus sp. C300	0.808438765463	+	8.08438765463	9.91453335844e-182
Streptococcus infantis SK1076	Streptococcus infantis SK970	0.852026667375	+	8.52026667375	1.90134265409e-221
Streptococcus infantis SK1076	Streptococcus sp. M143	0.811816737498	+	8.11816737498	1.98225931758e-184
Halothiobacillus neapolitanus c2	Pseudomonas syringae pv. lachrymans str. M301315	0.824029803497	+	8.24029803497	1.15679842286e-194
Halothiobacillus neapolitanus c2	Pseudomonas syringae pv. aceris str. M302273	0.827850054574	+	8.27850054574	4.98947526889e-198
Streptococcus mitis SK597	Streptococcus oralis ATCC 49296	0.811356092996	+	8.11356092996	4.66053318088e-184
Streptococcus mitis SK597	Streptococcus mitis B6	0.808250514135	+	8.08250514135	1.39671376279e-181
Streptococcus mitis SK597	Streptococcus mitis bv. 2 str. F0392	0.815745581339	+	8.15745581339	1.2256148546e-187
Streptococcus mitis SK597	Streptococcus pneumoniae CDC3059-06	0.932012924963	+	9.32012924963	0.0
Streptococcus mitis SK597	Streptococcus mitis bv. 2 str. SK95	0.828255146709	+	8.28255146709	2.16942500717e-198
Streptococcus mitis SK597	Streptococcus mitis SK321	0.953235030705	+	9.53235030705	0.0
Streptococcus mitis SK597	Streptococcus sp. C300	0.811309469656	+	8.11309469656	5.08108675504e-184
Streptococcus mitis SK597	Streptococcus sp. M334	0.949276314292	+	9.49276314292	0.0
Streptococcus mitis SK597	Streptococcus mitis SK564	0.962088524726	+	9.62088524726	0.0
Streptococcus mitis SK597	Streptococcus sp. M143	0.816853895827	+	8.16853895827	1.47649346347e-188
Streptomyces sp. e14	Croceibacter atlanticus HTCC2559	-0.307026601869	-	3.07026601869	1.56236280715e-18
Intrasporangium calvum DSM 43043	Croceibacter atlanticus HTCC2559	-0.30052691851	-	3.0052691851	8.70327469188e-18
Intrasporangium calvum DSM 43043	Bacteroides stercoris ATCC 43183	-0.306569314182	-	3.06569314182	1.76553185929e-18
Desulfitobacterium hafniense Y51	Symbiobacterium thermophilum IAM 14863	0.807564722587	+	8.07564722587	4.85192274316e-181
Lactobacillus oris F0423	Bacteroides helcogenes P 36-108	-0.302724287675	-	3.02724287675	4.89343974468e-18
Lactobacillus oris F0423	Bacteroides fluxus YIT 12057	-0.32822387239	-	3.2822387239	4.25089137773e-21
Lactobacillus oris F0423	Lactobacillus antri DSM 16041	0.874259912349	+	8.74259912349	5.15627681591e-247
Lactobacillus oris F0423	Bacteroides finegoldii DSM 17565	-0.322006161962	-	3.22006161962	2.52529702833e-20
Lactobacillus oris F0423	Sphingobacterium spiritivorum ATCC 33300	-0.314356333602	-	3.14356333602	2.13760075226e-19
Lactobacillus oris F0423	Bacteroides sp. 1_1_6	-0.317155421146	-	3.17155421146	9.85409347466e-20
Lactobacillus oris F0423	Alistipes sp. HGB5	-0.324072778782	-	3.24072778782	1.40313731567e-20
Lactobacillus oris F0423	Alistipes shahii WAL 8301	-0.32135723464	-	3.2135723464	3.03419378025e-20
Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293	Prevotella sp. oral taxon 299 str. F0039	-0.387536992955	-	3.87536992955	1.99931625049e-29
Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293	Neisseria cinerea ATCC 14685	-0.324126253592	-	3.24126253592	1.38187953536e-20
Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293	Cyclobacterium marinum DSM 745	-0.515283953021	-	5.15283953021	2.98495969456e-54
Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293	Prevotella ruminicola 23	-0.385622614542	-	3.85622614542	3.96040526046e-29
Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293	Bacteroides helcogenes P 36-108	-0.363277385917	-	3.63277385917	8.32516813489e-26
Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293	Bacteroides intestinalis DSM 17393	-0.313625909482	-	3.13625909482	2.61276632665e-19
Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293	Prevotella multisaccharivorax DSM 17128	-0.332245766361	-	3.32245766361	1.3131597465e-21
Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293	Bacteroides fluxus YIT 12057	-0.402238332579	-	4.02238332579	9.01360957332e-32
Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293	Fusobacterium varium ATCC 27725	-0.305548107734	-	3.05548107734	2.31795979155e-18
Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293	Prevotella marshii DSM 16973	-0.476079352136	-	4.76079352136	1.74797468855e-45
Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293	Haliscomenobacter hydrossis DSM 1100	-0.361234479161	-	3.61234479161	1.62688888678e-25
Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293	Bacteroides coprophilus DSM 18228 = JCM 13818	-0.338030093912	-	3.38030093912	2.35073972079e-22
Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293	Capnocytophaga sp. oral taxon 338 str. F0234	-0.360058504875	-	3.60058504875	2.38723349624e-25
Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293	Bacteroides sp. 1_1_30	-0.355462380812	-	3.55462380812	1.05229972627e-24
Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293	Prevotella oris C735	-0.39040161468	-	3.9040161468	7.12843685794e-30
Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293	Bacteroides finegoldii DSM 17565	-0.373351743213	-	3.73351743213	2.84749481631e-27
Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293	Tannerella forsythia ATCC 43037	-0.323106562455	-	3.23106562455	1.84785036266e-20
Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293	Porphyromonas gingivalis ATCC 33277	-0.404395102125	-	4.04395102125	3.98752050529e-32
Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293	Prevotella denticola CRIS 18C-A	-0.484976097766	-	4.84976097766	2.24655255754e-47
Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293	Bacteroides sp. 2_2_4	-0.346416684863	-	3.46416684863	1.81779787133e-23
Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293	Bacteroidetes oral taxon 274 str. F0058	-0.333565959607	-	3.33565959607	8.89602747789e-22
Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293	Flavobacterium johnsoniae UW101	-0.323021405113	-	3.23021405113	1.8931458279e-20
Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293	Croceibacter atlanticus HTCC2559	-0.444232020287	-	4.44232020287	3.73942590574e-39
Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293	Bacteroides plebeius DSM 17135	-0.390368753776	-	3.90368753776	7.21368617948e-30
Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293	Prevotella disiens FB035-09AN	-0.431663895726	-	4.31663895726	7.80332976719e-37
Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293	Leeuwenhoekiella blandensis MED217	-0.38144161092	-	3.8144161092	1.73493945001e-28
Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293	Bacteroides sp. 1_1_6	-0.37483362971	-	3.7483362971	1.71563852087e-27
Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293	Psychroflexus torquis ATCC 700755	-0.349461602641	-	3.49461602641	7.03884954164e-24
Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293	Bacteroides stercoris ATCC 43183	-0.369151630038	-	3.69151630038	1.1801713604e-26
Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293	Bacteroides sp. 9_1_42FAA	-0.302431655318	-	3.02431655318	5.2849432884e-18
Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293	Prevotella tannerae ATCC 51259	-0.413116236368	-	4.13116236368	1.38584850753e-33
Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293	Paraprevotella xylaniphila YIT 11841	-0.305357108314	-	3.05357108314	2.43874950918e-18
Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293	Bacteroides coprosuis DSM 18011	-0.397809783905	-	3.97809783905	4.72131898147e-31
Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293	Prevotella salivae DSM 15606	-0.305825973251	-	3.05825973251	2.15269301696e-18
Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293	Staphylococcus haemolyticus JCSC1435	-0.346391362777	-	3.46391362777	1.83211726158e-23
Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293	Prevotella amnii CRIS 21A-A	-0.306961808371	-	3.06961808371	1.58968278051e-18
Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293	Bacteroides coprocola DSM 17136	-0.417236127769	-	4.17236127769	2.7375447553e-34
Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293	Prevotella timonensis CRIS 5C-B1	-0.301999194429	-	3.01999194429	5.92064295133e-18
Providencia alcalifaciens DSM 30120	Erwinia pyrifoliae Ep1/96	0.832758705167	+	8.32758705167	1.77838613294e-202
Providencia alcalifaciens DSM 30120	Photorhabdus luminescens subsp. laumondii TTO1	0.837859285883	+	8.37859285883	2.96509779984e-207
Providencia alcalifaciens DSM 30120	Pectobacterium wasabiae WPP163	0.822597828324	+	8.22597828324	2.0124050709e-193
Providencia alcalifaciens DSM 30120	Buchnera aphidicola BCc	0.807618089653	+	8.07618089653	4.40461076013e-181
Providencia alcalifaciens DSM 30120	Wigglesworthia glossinidia endosymbiont of Glossina morsitans morsitans (Yale colony)	0.813493501906	+	8.13493501906	8.64977808695e-186
Providencia alcalifaciens DSM 30120	Enterobacter sp. 638	0.801141817516	+	8.01141817516	4.43987885767e-176
Providencia alcalifaciens DSM 30120	Serratia proteamaculans 568	0.846297889094	+	8.46297889094	1.55180290153e-215
Providencia alcalifaciens DSM 30120	Providencia rettgeri DSM 1131	0.843639953989	+	8.43639953989	7.11398742843e-213
